benchmark; host-cpu-time-ns; instruction-count; cycle-count; cpi; ipc; ips
aha-mont64; 486563; 1042778; 1307533; 1.254; 0.797; 972580.033
crc32; 687350; 2275716; 3436062; 1.510; 0.662; 807687.235
cubic; 244077291481; 7835906; 11422519; 1.458; 0.686; 836591.554
edn; 506269; 3384094; 5063918; 1.496; 0.668; 814970.523
matmult-int; 753091; 1452100; 2165848; 1.492; 0.670; 817626.010
minver; 485451; 265535; 388780; 1.464; 0.683; 832921.371
nbody; 562090; 26930098; 39071814; 1.451; 0.689; 840544.105
nettle-aes; 441315; 255247; 338517; 1.326; 0.754; 919530.863
nettle-sha256; 589015; 90371; 102692; 1.136; 0.880; 1073194.958
nsichneu; 482503; 34269; 84247; 2.458; 0.407; 496058.773
primecount; 690431; 10907422; 18751458; 1.719; 0.582; 709370.660
slre; 515420; 80245; 135837; 1.693; 0.591; 720420.475
st; 460497; 6483640; 9358299; 1.443; 0.693; 844905.474
statemate; 463441; 52582; 88205; 1.677; 0.596; 726992.690
ud; 521230; 514856; 706567; 1.372; 0.729; 888625.100
