SBY 13:54:32 [FullProof_cover] Removing directory 'FullProof_cover'.
SBY 13:54:32 [FullProof_cover] Copy 'Formal_Proof_Module_Wrapper.sv' to 'FullProof_cover/src/Formal_Proof_Module_Wrapper.sv'.
SBY 13:54:32 [FullProof_cover] Copy 'Formal_Proof_Module.sv' to 'FullProof_cover/src/Formal_Proof_Module.sv'.
SBY 13:54:32 [FullProof_cover] Copy 'RiscV32Core.v' to 'FullProof_cover/src/RiscV32Core.v'.
SBY 13:54:32 [FullProof_cover] Copy 'RiscV32Core.v_toplevel_regs_regFile.bin' to 'FullProof_cover/src/RiscV32Core.v_toplevel_regs_regFile.bin'.
SBY 13:54:32 [FullProof_cover] engine_0: smtbmc
SBY 13:54:32 [FullProof_cover] engine_1: smtbmc z3
SBY 13:54:32 [FullProof_cover] engine_2: smtbmc boolector
SBY 13:54:32 [FullProof_cover] base: starting process "cd FullProof_cover/src; yosys -ql ../model/design.log ../model/design.ys"
SBY 13:54:33 [FullProof_cover] base: Warning: Wire RiscV32Core.\ctrlLogic_io_csrCtrl_illegalAccess is used but has no driver.
SBY 13:54:34 [FullProof_cover] base: finished (returncode=0)
SBY 13:54:34 [FullProof_cover] smt2: starting process "cd FullProof_cover/model; yosys -ql design_smt2.log design_smt2.ys"
SBY 13:54:34 [FullProof_cover] smt2: finished (returncode=0)
SBY 13:54:34 [FullProof_cover] engine_0: starting process "cd FullProof_cover; yosys-smtbmc --presat --unroll -c --noprogress -t 8  --append 0 --dump-vcd engine_0/trace%.vcd --dump-vlogtb engine_0/trace%_tb.v --dump-smtc engine_0/trace%.smtc model/design_smt2.smt2"
SBY 13:54:34 [FullProof_cover] engine_1: starting process "cd FullProof_cover; yosys-smtbmc -s z3 --presat -c --noprogress -t 8  --append 0 --dump-vcd engine_1/trace%.vcd --dump-vlogtb engine_1/trace%_tb.v --dump-smtc engine_1/trace%.smtc model/design_smt2.smt2"
SBY 13:54:34 [FullProof_cover] engine_2: starting process "cd FullProof_cover; yosys-smtbmc -s boolector --presat --unroll -c --noprogress -t 8  --append 0 --dump-vcd engine_2/trace%.vcd --dump-vlogtb engine_2/trace%_tb.v --dump-smtc engine_2/trace%.smtc model/design_smt2.smt2"
SBY 13:54:34 [FullProof_cover] engine_0: ##   0:00:00  Solver: yices
SBY 13:54:34 [FullProof_cover] engine_2: ##   0:00:00  Solver: boolector
SBY 13:54:34 [FullProof_cover] engine_1: ##   0:00:00  Solver: z3
SBY 13:54:34 [FullProof_cover] engine_1: ##   0:00:00  Checking cover reachability in step 0..
SBY 13:54:34 [FullProof_cover] engine_1: ##   0:00:00  Checking cover reachability in step 1..
SBY 13:54:34 [FullProof_cover] engine_1: ##   0:00:00  Checking cover reachability in step 2..
SBY 13:54:34 [FullProof_cover] engine_0: ##   0:00:00  Checking cover reachability in step 0..
SBY 13:54:34 [FullProof_cover] engine_2: ##   0:00:00  Checking cover reachability in step 0..
SBY 13:54:34 [FullProof_cover] engine_1: ##   0:00:00  Checking cover reachability in step 3..
SBY 13:54:34 [FullProof_cover] engine_1: ##   0:00:00  Checking cover reachability in step 4..
SBY 13:54:34 [FullProof_cover] engine_0: ##   0:00:00  Checking cover reachability in step 1..
SBY 13:54:34 [FullProof_cover] engine_2: ##   0:00:00  Checking cover reachability in step 1..
SBY 13:54:35 [FullProof_cover] engine_1: ##   0:00:00  Checking cover reachability in step 5..
SBY 13:54:35 [FullProof_cover] engine_0: ##   0:00:00  Checking cover reachability in step 2..
SBY 13:54:35 [FullProof_cover] engine_2: ##   0:00:00  Checking cover reachability in step 2..
SBY 13:54:35 [FullProof_cover] engine_0: ##   0:00:00  Checking cover reachability in step 3..
SBY 13:54:35 [FullProof_cover] engine_2: ##   0:00:00  Checking cover reachability in step 3..
SBY 13:54:35 [FullProof_cover] engine_0: ##   0:00:00  Checking cover reachability in step 4..
SBY 13:54:35 [FullProof_cover] engine_2: ##   0:00:00  Checking cover reachability in step 4..
SBY 13:54:35 [FullProof_cover] engine_0: ##   0:00:01  Checking cover reachability in step 5..
SBY 13:54:36 [FullProof_cover] engine_2: ##   0:00:01  Checking cover reachability in step 5..
SBY 13:54:36 [FullProof_cover] engine_0: ##   0:00:02  Reached cover statement at Formal_Proof_Module.sv:1869.8-1870.191 in step 5.
SBY 13:54:36 [FullProof_cover] engine_0: ##   0:00:02  Writing trace to VCD file: engine_0/trace0.vcd
