benchmark; host-cpu-time-ns; instruction-count; cycle-count; cpi; ipc; ips; Date; Configuration
aha-mont64; 559535; 962024; 1207343; 1.255; 0.797; 971720.547
crc32; 584263; 2275716; 3436062; 1.510; 0.662; 807687.235
cubic; 497495; 7835906; 11402602; 1.455; 0.687; 838052.834
edn; 472366; 3384094; 5063906; 1.496; 0.668; 814972.455
matmult-int; 483348; 3340900; 4749048; 1.421; 0.704; 857912.637
minver; 513376; 265533; 386617; 1.456; 0.687; 837574.995
nbody; 535328; 26930098; 38985413; 1.448; 0.691; 842406.952
nettle-aes; 821703; 255247; 338515; 1.326; 0.754; 919536.296
nettle-sha256; 2999397859; 90371; 102692; 1.136; 0.880; 1073194.958
nsichneu; 786583786; 10833; 29563; 2.729; 0.366; 446875.338
primecount; 475004477693; 10907422; 18751458; 1.719; 0.582; 709370.660
slre; 511702; 80245; 135837; 1.693; 0.591; 720420.475
st; 223822092576; 6320942; 9112412; 1.442; 0.694; 845930.348
statemate; 663596; 52582; 88205; 1.677; 0.596; 726992.690
ud; 507123; 514856; 706563; 1.372; 0.729; 888630.130
